,imdbID,Title,Released,Awards,Director,Actors,Country,Language,Rated,Runtime,Year,Metascore,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Othter wins,Othter nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,D_birthplace,D_DOB,D_name,D_credits,D_wins,D_age,A_birthplace,A_DOB,A_name,A_credits,A_wins,A_age,bp_n,bp_w,fl_n,fl_w,fs_n,fs_w,ml_n,ml_w,ms_n,ms_w,Director Nominated Oscars,Director Won Oscars,Actor Nominated Oscars,Actor Won Oscars,movie_url,imdb_link,rt_link,budget_USD,box_USD
0,tt0018389,A Ship Comes In,1928-01-04 00:00:00,,William K. Howard,Rudolph Schildkraut,USA,,,70.0,1928,,5.8,88,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"St. Marys, Ohio, USA",1893-6-16,William K. Howard,54.0,1 win.,122.43394935,"Constantinople, Ottoman Empire [now Istanbul, Turkey]",1862-4-27,Rudolph Schildkraut,26.0,0,153.571526352,False,False,True,False,False,False,False,False,False,False,0,0,0,0,/wiki/A_Ship_Comes_In,http://www.imdb.com/title/tt0018389/,NA,,69308274.8538
1,tt0018389,A Ship Comes In,1928-01-04 00:00:00,,William K. Howard,Louise Dresser,USA,,,70.0,1928,,5.8,88,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"St. Marys, Ohio, USA",1893-6-16,William K. Howard,54.0,1 win.,122.43394935,"Evansville, Indiana, USA",1878-10-5,Louise Dresser,50.0,"Nominated for
        1
        Oscar.",137.130732375,False,False,True,False,False,False,False,False,False,False,0,0,1,0,/wiki/A_Ship_Comes_In,http://www.imdb.com/title/tt0018389/,NA,,69308274.8538
2,tt0018515,Two Arabian Knights,1927-09-23 00:00:00,,Lewis Milestone,William Boyd,USA,English,TV-G,92.0,1927,,7.0,505,,,,,,,71.0,3.8,124.0,0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"Kishinev, Russian Empire [now Chisinau, Moldova]",1895-9-30,Lewis Milestone,52.0,"Won
        2
        Oscars.",120.145106092,"Hendrysburg, Ohio, USA",1895-6-5,William Boyd,142.0,2 wins.,120.465434634,False,False,False,False,False,False,False,False,False,False,0,2,0,0,/wiki/Two_Arabian_Knights,http://www.imdb.com/title/tt0018515/,NA,,91438583.1532
3,tt0018515,Two Arabian Knights,1927-09-23 00:00:00,,Lewis Milestone,Mary Astor,USA,English,TV-G,92.0,1927,,7.0,505,,,,,,,71.0,3.8,124.0,0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"Kishinev, Russian Empire [now Chisinau, Moldova]",1895-9-30,Lewis Milestone,52.0,"Won
        2
        Oscars.",120.145106092,"Quincy, Illinois, USA",1906-5-3,Mary Astor,155.0,"Won
        1
        Oscar.",109.557837098,False,False,False,False,False,False,False,False,False,False,0,2,0,1,/wiki/Two_Arabian_Knights,http://www.imdb.com/title/tt0018515/,NA,,91438583.1532
4,tt0018515,Two Arabian Knights,1927-09-23 00:00:00,,Lewis Milestone,Louis Wolheim,USA,English,TV-G,92.0,1927,,7.0,505,,,,,,,71.0,3.8,124.0,0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"Kishinev, Russian Empire [now Chisinau, Moldova]",1895-9-30,Lewis Milestone,52.0,"Won
        2
        Oscars.",120.145106092,"New York City, New York, USA",1880-3-28,Louis Wolheim,56.0,0,135.65229295,False,False,False,False,False,False,False,False,False,False,0,2,0,0,/wiki/Two_Arabian_Knights,http://www.imdb.com/title/tt0018515/,NA,,91438583.1532
5,tt0018674,The Barker,1928-12-09 00:00:00,,George Fitzmaurice,Betty Compson,USA,English,,80.0,1928,,7.4,55,,,,,,,100.0,4.2,79.0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"Paris, France",1885-2-13,George Fitzmaurice,83.0,1 win & 1 nomination.,130.770704997,"Beaver, Utah, USA",1897-3-19,Betty Compson,208.0,"Nominated for
        1
        Oscar.",118.67761807,False,False,True,False,False,False,False,False,False,False,0,0,1,0,/wiki/The_Barker,http://www.imdb.com/title/tt0018674/,NA,,56052180.1421
6,tt0018674,The Barker,1928-12-09 00:00:00,,George Fitzmaurice,Dorothy Mackaill,USA,English,,80.0,1928,,7.4,55,,,,,,,100.0,4.2,79.0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"Paris, France",1885-2-13,George Fitzmaurice,83.0,1 win & 1 nomination.,130.770704997,"Hull, Yorkshire, England, UK",1903-3-4,Dorothy Mackaill,68.0,0,112.722792608,False,False,True,False,False,False,False,False,False,False,0,0,0,0,/wiki/The_Barker,http://www.imdb.com/title/tt0018674/,NA,,56052180.1421
7,tt0018674,The Barker,1928-12-09 00:00:00,,George Fitzmaurice,Milton Sills,USA,English,,80.0,1928,,7.4,55,,,,,,,100.0,4.2,79.0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"Paris, France",1885-2-13,George Fitzmaurice,83.0,1 win & 1 nomination.,130.770704997,"Chicago, Illinois, USA",1882-1-12,Milton Sills,86.0,1 win.,133.859000684,False,False,True,False,False,False,False,False,False,False,0,0,0,0,/wiki/The_Barker,http://www.imdb.com/title/tt0018674/,NA,,56052180.1421
8,tt0018806,The Crowd,1928-03-03 00:00:00,Nominated for 2 Oscars. Another 1 win.,King Vidor,Eleanor Boardman,USA,,NOT RATED,98.0,1928,,7.9,"5,375",,22.0,96.0,9.1,23.0,1.0,,,,2,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"Galveston, Texas, USA",1894-2-8,King Vidor,79.0,"Nominated for
        5
        Oscars.",121.785078713,"Philadelphia, Pennsylvania, USA",1898-8-19,Eleanor Boardman,32.0,1 win.,117.259411362,True,False,False,False,False,False,False,False,False,False,5,0,0,0,/wiki/The_Crowd_(1928_film),http://www.imdb.com/title/tt0018806/,NA,,37131090.4153
9,tt0018806,The Crowd,1928-03-03 00:00:00,Nominated for 2 Oscars. Another 1 win.,King Vidor,James Murray,USA,,NOT RATED,98.0,1928,,7.9,"5,375",,22.0,96.0,9.1,23.0,1.0,,,,2,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"Galveston, Texas, USA",1894-2-8,King Vidor,79.0,"Nominated for
        5
        Oscars.",121.785078713,"New York City, New York, USA",1901-2-9,James Murray,37.0,0,114.784394251,True,False,False,False,False,False,False,False,False,False,5,0,0,0,/wiki/The_Crowd_(1928_film),http://www.imdb.com/title/tt0018806/,NA,,37131090.4153
10,tt0019071,The Last Command,1928-04-01 00:00:00,Won 1 Oscar. Another 1 win & 1 nomination.,Josef von Sternberg,Evelyn Brent,USA,English,NOT RATED,88.0,1928,,8.0,"2,140",,15.0,100.0,8.1,15.0,0.0,91.0,4.0,602.0,0,1,1,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,"Vienna, Austria-Hungary [now Austria]",1894-5-29,Josef von Sternberg,35.0,"Nominated for
        2
        Oscars.",121.483915127,"Tampa, Florida, USA",1899-10-20,Evelyn Brent,127.0,1 win.,116.090349076,False,False,False,False,False,False,True,True,False,False,2,0,0,0,/wiki/The_Last_Command_(1928_film),http://www.imdb.com/title/tt0019071/,NA,,444533821.264
11,tt0019071,The Last Command,1928-04-01 00:00:00,Won 1 Oscar. Another 1 win & 1 nomination.,Josef von Sternberg,Emil Jannings,USA,English,NOT RATED,88.0,1928,,8.0,"2,140",,15.0,100.0,8.1,15.0,0.0,91.0,4.0,602.0,0,1,1,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,"Vienna, Austria-Hungary [now Austria]",1894-5-29,Josef von Sternberg,35.0,"Nominated for
        2
        Oscars.",121.483915127,"Rorschach, St. Gallen, Switzerland",1884-7-23,Emil Jannings,83.0,"Won
        1
        Oscar.",131.331964408,False,False,False,False,False,False,True,True,False,False,2,0,0,1,/wiki/The_Last_Command_(1928_film),http://www.imdb.com/title/tt0019071/,NA,,444533821.264
12,tt0019071,The Last Command,1928-04-01 00:00:00,Won 1 Oscar. Another 1 win & 1 nomination.,Josef von Sternberg,William Powell,USA,English,NOT RATED,88.0,1928,,8.0,"2,140",,15.0,100.0,8.1,15.0,0.0,91.0,4.0,602.0,0,1,1,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,"Vienna, Austria-Hungary [now Austria]",1894-5-29,Josef von Sternberg,35.0,"Nominated for
        2
        Oscars.",121.483915127,"Pittsburgh, Pennsylvania, USA",1892-7-29,William Powell,96.0,"Nominated for
        3
        Oscars.",123.315537303,False,False,False,False,False,False,True,True,False,False,2,0,3,0,/wiki/The_Last_Command_(1928_film),http://www.imdb.com/title/tt0019071/,NA,,444533821.264
