,imdbID,Title,Released,Country,Language,Rated,Runtime,Year,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,Romance,Sci-Fi,Sport,Thriller,War,Western,wiki_url_new,imdb_link_new,rt_link_new,budget_USD,box_USD,A_mean_age,A_mean_credit,D_mean_age,D_mean_credit,mean_rate
0,tt0369610,Jurassic World,2015-06-12 00:00:00,USA,English,PG-13,124.0,2015,7.2,314481,"Jurassic World can't match the original for sheer inventiveness and impact, but it works in its own right as an entertaining -- and visually dazzling -- popcorn thriller.",194.0,71.0,6.7,274.0,80.0,80.0,3.9,206851.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Jurassic_World,http://www.imdb.com/title/tt0369610/,http://www.rottentomatoes.com/m/jurassic_world/,,652198011.0,47.4329273438,73.0,38.7433264887,7.0,7.5
4,tt0470752,Ex Machina,2015-04-24 00:00:00,UK,English,R,108.0,2015,7.7,194256,"Ex Machina leans heavier on ideas than effects, but it's still a visually polished piece of work -- and an uncommonly engaging sci-fi feature.",199.0,92.0,8.0,216.0,17.0,85.0,4.0,61929.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,/wiki/Ex_Machina_(film),http://www.imdb.com/title/tt0470752/,http://www.rottentomatoes.com/m/ex_machina/,,25440971.0,31.5441331243,31.0,45.3086926762,2.0,7.85
7,tt0478970,Ant-Man,2015-07-17 00:00:00,USA,English,PG-13,117.0,2015,7.6,138824,"Led by a charming performance from Paul Rudd, Ant-Man offers Marvel thrills on an appropriately smaller scale -- albeit not as smoothly as its most successful predecessors.",197.0,79.0,6.8,248.0,51.0,88.0,4.1,148048.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Ant-Man_(film),http://www.imdb.com/title/tt0478970/,,,178636091.0,51.5163627246,67.3333333333,51.0362765229,26.0,7.9
10,tt0810819,The Danish Girl,2015-12-25 00:00:00,"UK, Germany, USA","English, German",R,120.0,2015,5.3,2539,,,,,,,,4.1,304.0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Danish_Girl_(film),http://www.imdb.com/title/tt0810819/,http://www.rottentomatoes.com/m/The_Danish_Girl_2015/,,,30.3972299392,25.5,43.2306639288,18.0,6.75
12,tt0884732,The Wedding Ringer,2015-01-16 00:00:00,USA,English,R,101.0,2015,6.7,42323,"Kevin Hart and Josh Gad might be two great comedians that go great together, but there's little evidence of it on display in The Wedding Ringer.",25.0,27.0,4.3,93.0,68.0,65.0,3.6,39352.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/The_Wedding_Ringer,http://www.imdb.com/title/tt0884732/,http://www.rottentomatoes.com/m/the_wedding_ringer/,,64460211.0,32.9536630905,56.3333333333,39.1293634497,5.0,6.95
15,tt0900387,Suite Française,1929-08-20 00:00:00,"UK, France, Canada, Belgium","English, German, French",,107.0,2014,6.8,6940,,23.0,77.0,6.0,30.0,7.0,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,/wiki/Suite_Fran%C3%A7aise_(film),http://www.imdb.com/title/tt0900387/,http://www.rottentomatoes.com/m/suite_francaise/,,,-40.4330728436,46.3333333333,-38.3655030801,6.0,6.8
18,tt1014763,Child 44,2015-04-17 00:00:00,"USA, UK, Czech Republic, Romania, Russia",English,R,137.0,2015,6.4,28118,"There's a gripping story at the heart of Child 44 and a solid performance from Tom Hardy in the lead, but it all still adds up to a would-be thriller that lacks sufficient thrills.",18.0,25.0,4.7,71.0,53.0,43.0,3.1,11248.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/Child_44_(film),http://www.imdb.com/title/tt1014763/,,,1206135.0,36.5883890237,44.0,38.0670773443,7.0,6.3
20,tt1018765,Our Brand Is Crisis,2015-10-30 00:00:00,USA,"English, Spanish",R,107.0,2015,5.6,1443,"Our Brand Is Crisis offers sporadic amusement and benefits from a talented cast, but ultimately lacks enough of a bite to add much of interest to the political satire genre.",37.0,33.0,5.3,113.0,76.0,43.0,3.1,5341.0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Our_Brand_Is_Crisis_(2015_film),http://www.imdb.com/title/tt1018765/,http://www.rottentomatoes.com/m/our_brand_is_crisis_2016/,,,51.3553235178,62.6666666667,40.5585215606,18.0,5.9
23,tt1029360,Poltergeist,2015-05-22 00:00:00,"USA, Canada",English,PG-13,93.0,2015,5.0,32812,"Paying competent homage without adding anything of real value to the original Poltergeist, this remake proves just as ephemeral (but half as haunting) as its titular spirit.",32.0,31.0,4.8,102.0,70.0,23.0,2.5,35883.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,/wiki/Poltergeist_(2015_film),http://www.imdb.com/title/tt1029360/,http://www.rottentomatoes.com/m/poltergeist-2009/,,47415690.0,45.5901437372,62.5,38.5954825462,3.0,5.0
25,tt1137470,Accidental Love,2015-02-10 00:00:00,"USA, UK",English,PG-13,100.0,2015,4.1,3562,,2.0,7.0,3.2,29.0,27.0,16.0,2.0,4625.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/Accidental_Love,http://www.imdb.com/title/tt1137470/,http://www.rottentomatoes.com/m/accidental_love/,,,31.6857175451,24.0,56.476386037,12.0,4.05
