,Movie,Winning probability,,,,,,,,
1,Jurassic World,0.204840498,http://screenrant.com/wp-content/uploads/Jurassic-World-Poster-Official.jpg,,,,,,,
2,Mad Max: Fury Road,0.214512094,http://t0.gstatic.com/images?q=tbn:ANd9GcQuK41mExh1Qv3kbXoxohWYGlcstOQ6zEnnNdSI2BGIKywQwgRI,,,,,,,
3,Straight Outta Compton,0.238794011,http://2ykov18qyj81ii56523ib0ue.wpengine.netdna-cdn.com/wp-content/uploads/2015/08/straight-outta-compton-square.jpg,,,,,,,
4,The Revenant,0.156593219,http://t1.gstatic.com/images?q=tbn:ANd9GcS5yuCSZqK5Hha5lElqZr2SCYVY-sYycKZ8PJ8POfNQkOmSuo5B,,,,,,,
5,Spotlight,0.162100329,https://kpbs.media.clients.ellingtoncms.com/img/news/tease/2015/11/12/spotlight-one-sheet.jpg,,,,,,,
6,Spectre,0.197618822,http://www.007.com/wp-content/uploads/2015/09/SITE_POSTER-1000x640.jpg,,,,,,,
7,Mission: Impossible - Rogue Nation,0.163706043,http://t1.gstatic.com/images?q=tbn:ANd9GcQ2QqFVBlMs6FLqvr_q_NiiylRGzbt47aGTDCHdEEOZqp8zclxe,,,,,,,
8,Avengers: Age of Ultron,0.388707757,http://t0.gstatic.com/images?q=tbn:ANd9GcRlGeugacRkKznDOtRhUCVt0AkrOTPbaaKwF9xgGZgNViyC_Xko,,,,,,,
9,Furious 7,0.254411701,http://t1.gstatic.com/images?q=tbn:ANd9GcReedjA2vJSO4_6GDpsI3PShvbRqfAAEv03qaJ9qOxtiLZX0Jx7,,,,,,,
10,The Hateful Eight,0.287890063,http://static.independent.co.uk/s3fs-public/thumbnails/image/2015/11/20/09/A1.jpg,,,,,,,
11,The Martian,0.270072195,https://www.google.com/imgres?imgurl=http://t2.gstatic.com/images%3Fq%3Dtbn:ANd9GcTkKPZ7EIOafEsemyn6zTIDeGYthKC_Okgxi1eX6diuOT3xKWXQ&imgrefurl=http://t2.gstatic.com/images?q%3Dtbn:ANd9GcTkKPZ7EIOafEsemyn6zTIDeGYthKC_Okgxi1eX6diuOT3xKWXQ&h=1080&w=720&tbnid=8vfw2btMY63bzM:&tbnh=160&tbnw=106&docid=Qokp5CEU3y6UVM&itg=1&usg=__2q22CxTaDpSMFNraoasm9wArUEw=,,,,,,,
12,Bridge of Spies,0.191980406,http://cdn.wegotthiscovered.com/wp-content/uploads/BRIDGE-OF-SPIES-Poster-e1433542435366-677x400.jpg,,,,,,,
13,Muhammad: The Messenger of God,0.327404359,http://realiran.org/wp-content/uploads/2015/09/Muhammad-The-Messenger-of-God-film-11.jpg,,,,,,,
14,Dilwale,0.164262945,http://t2.gstatic.com/images?q=tbn:ANd9GcTYu4HW1lC3T94JfRQcVv7ufa1Ep_WEM5lGF7QxF-5QGCP4pnpd,,,,,,,
