,Birthplace,DOB,Name,credits,wins,age
0,"New York City, New York, USA",1940-4-25,Al Pacino,53.0,"Won
        1
        Oscar.",75.5783709788
1,"New York City, New York, USA",1915-6-1,John Randolph,177.0,0,100.479123888
2,"Downingtown, Pennsylvania, USA",1987-2-20,Miles Teller,22.0,3 wins & 19 nominations.,28.7556468172
3,"Detroit, Michigan, USA",1955-1-9,J.K. Simmons,163.0,"Won
        1
        Oscar.",60.8706365503
4,"Littleton, Colorado, USA",1988-10-4,Melissa Benoist,14.0,1 nomination.,27.1348391513
5,"Cleveland, Ohio, USA",1936-5-30,Keir Dullea,82.0,"Won
        1
        Golden Globe.",79.4825462012
6,"New York City, New York, USA",1943-7-25,Janet Margolin,50.0,"Nominated for
        1
        Golden Globe.",72.3312799452
7,"Winona, Minnesota, USA",1971-10-29,Winona Ryder,58.0,"Nominated for
        2
        Oscars.",44.0684462697
8,"Los Angeles, California, USA",1975-6-4,Angelina Jolie,47.0,"Won
        1
        Oscar.",40.4709103354
9,"Los Angeles, California, USA",1977-9-25,Clea DuVall,75.0,5 wins & 8 nominations.,38.160164271
10,"Brooklyn [now in New York City], New York, USA",1895-2-19,Louis Calhern,73.0,"Nominated for
        1
        Oscar.",120.755646817
11,"Omaha, Nebraska, USA",1924-4-3,Marlon Brando,46.0,"Won
        2
        Oscars.",91.6386036961
12,"Huddersfield, Yorkshire [now in Kirklees, West Yorkshire], England, UK",1909-5-15,James Mason,153.0,"Nominated for
        3
        Oscars.",106.524298426
13,"Newton, Massachusetts, USA",1925-2-8,Jack Lemmon,95.0,"Won
        2
        Oscars.",90.7871321013
14,"Quincy, Massachusetts, USA",1935-12-14,Lee Remick,71.0,"Nominated for
        1
        Oscar.",79.9425051335
15,"Cambridge, Massachusetts, USA (1889, often given in error)",1891-1-1,Charles Bickford,112.0,"Nominated for
        3
        Oscars.",124.889801506
16,"O'Fallon, Illinois, USA",1918-4-17,William Holden,75.0,"Won
        1
        Oscar.",97.6016427105
17,"Marylebone, London, England, UK",1914-4-2,Alec Guinness,63.0,"Won
        1
        Oscar.",101.642710472
18,"Wood Green, London, England, UK",1910-9-14,Jack Hawkins,92.0,"Nominated for
        1
        Primetime Emmy.",105.190965092
19,"Barstow, California, USA",1925-5-25,Jeanne Crain,55.0,"Nominated for
        1
        Oscar.",90.4969199179
20,"Dallas, Texas, USA",1923-10-16,Linda Darnell,57.0,1 win.,92.1040383299
21,"Valley City, North Dakota, USA",1909-1-22,Ann Sothern,106.0,"Nominated for
        1
        Oscar.",106.833675565
22,"Tacoma, Washington, USA",1903-5-2,Bing Crosby,103.0,"Won
        1
        Oscar.",112.561259411
23,"Philadelphia, Pennsylvania, USA",1929-11-12,Grace Kelly,30.0,"Won
        1
        Oscar.",86.0287474333
24,"New York City, New York, USA",1933-6-20,Danny Aiello,95.0,"Nominated for
        1
        Oscar.",82.4257357974
25,"Cogdell, Georgia, USA",1917-12-18,Ossie Davis,107.0,"Nominated for
        1
        Golden Globe.",97.9301848049
26,"Cleveland, Ohio, USA",1922-10-27,Ruby Dee,113.0,"Nominated for
        1
        Oscar.",93.0732375086
