,Birthplace,DOB,Name,credits,wins,age
0,"Philadelphia, Pennsylvania, USA",1924-6-25,Sidney Lumet,73,"Nominated for
        5
        Oscars.",91.4113620808
1,"Queens, New York City, New York, USA",1942-11-17,Martin Scorsese,59,"Won
        1
        Oscar.",73.015742642
2,"New York City, New York, USA",1930-8-21,Frank Perry,21,"Nominated for
        1
        Oscar.",85.2566735113
3,"New York City, New York, USA",1963-12-16,James Mangold,14,5 wins & 4 nominations.,51.9370294319
4,"Wilkes-Barre, Pennsylvania, USA",1909-2-11,Joseph L. Mankiewicz,22,"Won
        4
        Oscars.",106.778918549
5,"Grand Forks, British Columbia, Canada",1908-9-4,Edward Dmytryk,56,"Nominated for
        1
        Oscar.",107.216974675
6,"Croydon, Surrey, England, UK",1908-3-25,David Lean,19,"Won
        2
        Oscars.",107.663244353
7,"Philadelphia, Pennsylvania, USA",1912-5-18,Richard Brooks,26,"Won
        1
        Oscar.",103.515400411
8,"Atlanta, Georgia, USA",1957-3-20,Spike Lee,63,"Nominated for
        2
        Oscars.",58.6776180698
9,"Winchester, Indiana, USA",1914-9-10,Robert Wise,41,"Won
        4
        Oscars.",101.201916496
10,"Constantinople, Ottoman Empire [now Istanbul, Turkey]",1909-9-7,Elia Kazan,21,"Won
        2
        Oscars.",106.209445585
11,"Berkeley, California, USA",1928-6-7,James Ivory,34,"Nominated for
        3
        Oscars.",87.4606433949
12,"Tehran, Iran",1941-8-26,Barbet Schroeder,22,"Nominated for
        1
        Oscar.",74.2422997947
13,"London, England, UK",1920-3-6,Lewis Gilbert,41,"Nominated for
        1
        Oscar.",95.7152635181
14,"New York City, New York, USA",1929-12-9,John Cassavetes,16,"Nominated for
        3
        Oscars.",85.954825462
15,"Brooklyn, New York City, New York, USA",1927-5-13,Herbert Ross,25,"Nominated for
        2
        Oscars.",88.5311430527
16,1958,1958-1-1,Douglas McGrath,7 ,"Nominated for
        1
        Oscar.",57.8918548939
17,"Tulsa, Oklahoma, USA",1922-7-26,Blake Edwards,52,"Nominated for
        1
        Oscar.",93.3278576318
18,"Kishinev, Russian Empire [now Chisinau, Moldova]",1895-9-30,Lewis Milestone,52,"Won
        2
        Oscars.",120.145106092
19,"Clinton, Massachusetts, USA",1890-5-10,Clarence Brown,53,"Nominated for
        6
        Oscars.",125.535934292
20,"Bangalore, Karnataka, British India [now India]",1923-4-17,Lindsay Anderson,35,"Nominated for
        1
        BAFTA Film Award.",92.6023271732
21,"Toronto, Ontario, Canada",1926-7-21,Norman Jewison,42,"Nominated for
        7
        Oscars.",89.3415468857
22,"The Bronx, New York City, New York, USA",1947-3-6,Rob Reiner,25,"Nominated for
        1
        Oscar.",68.7173169062
