,imdbID,Title,Released,Director,Actors,Country,Language,Rated,Runtime,Year,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Othter wins,Othter nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,bp_n,bp_w,fl_n,fl_w,fs_n,fs_w,ml_n,ml_w,ms_n,ms_w,movie_url,imdb_link,rt_link,budget_USD,box_USD,A_mean_age,A_mean_credit,D_mean_age,D_mean_credit,mean_rate,Anominated,Awon,Dnominated,Dwon
0,tt0018389,A Ship Comes In,1928-01-04 00:00:00,William K. Howard,Rudolph Schildkraut,USA,,,70.0,1928,5.8,88,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/A_Ship_Comes_In,http://www.imdb.com/title/tt0018389/,,,69308274.8538,54.8702042581,38.0,34.5489390828,54.0,5.8,1,0,0,0
1,tt0018389,A Ship Comes In,1928-01-04 00:00:00,William K. Howard,Louise Dresser,USA,,,70.0,1928,5.8,88,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/A_Ship_Comes_In,http://www.imdb.com/title/tt0018389/,,,69308274.8538,54.8702042581,38.0,34.5489390828,54.0,5.8,1,0,0,0
2,tt0018515,Two Arabian Knights,1927-09-23 00:00:00,Lewis Milestone,William Boyd,USA,English,TV-G,92.0,1927,7.0,505,,,,,,,71.0,3.8,124.0,0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Two_Arabian_Knights,http://www.imdb.com/title/tt0018515/,,,91438583.1532,29.9182173722,117.666666667,31.9780971937,52.0,7.3,0,1,0,2
3,tt0018515,Two Arabian Knights,1927-09-23 00:00:00,Lewis Milestone,Mary Astor,USA,English,TV-G,92.0,1927,7.0,505,,,,,,,71.0,3.8,124.0,0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Two_Arabian_Knights,http://www.imdb.com/title/tt0018515/,,,91438583.1532,29.9182173722,117.666666667,31.9780971937,52.0,7.3,0,1,0,2
4,tt0018515,Two Arabian Knights,1927-09-23 00:00:00,Lewis Milestone,Louis Wolheim,USA,English,TV-G,92.0,1927,7.0,505,,,,,,,71.0,3.8,124.0,0,0,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Two_Arabian_Knights,http://www.imdb.com/title/tt0018515/,,,91438583.1532,29.9182173722,117.666666667,31.9780971937,52.0,7.3,0,1,0,2
5,tt0018674,The Barker,1928-12-09 00:00:00,George Fitzmaurice,Betty Compson,USA,English,,80.0,1928,7.4,55,,,,,,,100.0,4.2,79.0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/The_Barker,http://www.imdb.com/title/tt0018674/,,,56052180.1421,34.2115178811,120.666666667,43.8165639973,83.0,7.9,1,0,0,0
6,tt0018674,The Barker,1928-12-09 00:00:00,George Fitzmaurice,Dorothy Mackaill,USA,English,,80.0,1928,7.4,55,,,,,,,100.0,4.2,79.0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/The_Barker,http://www.imdb.com/title/tt0018674/,,,56052180.1421,34.2115178811,120.666666667,43.8165639973,83.0,7.9,1,0,0,0
7,tt0018674,The Barker,1928-12-09 00:00:00,George Fitzmaurice,Milton Sills,USA,English,,80.0,1928,7.4,55,,,,,,,100.0,4.2,79.0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/The_Barker,http://www.imdb.com/title/tt0018674/,,,56052180.1421,34.2115178811,120.666666667,43.8165639973,83.0,7.9,1,0,0,0
8,tt0018806,The Crowd,1928-03-03 00:00:00,King Vidor,Eleanor Boardman,USA,,NOT RATED,98.0,1928,7.9,5375,,22.0,96.0,9.1,23.0,1.0,,,,2,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,/wiki/The_Crowd_(1928_film),http://www.imdb.com/title/tt0018806/,,,37131090.4153,28.2087512028,34.5,34.0616016427,79.0,7.9,0,0,5,0
9,tt0018806,The Crowd,1928-03-03 00:00:00,King Vidor,James Murray,USA,,NOT RATED,98.0,1928,7.9,5375,,22.0,96.0,9.1,23.0,1.0,,,,2,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,/wiki/The_Crowd_(1928_film),http://www.imdb.com/title/tt0018806/,,,37131090.4153,28.2087512028,34.5,34.0616016427,79.0,7.9,0,0,5,0
