,imdbID,Title,Released,Awards,Director,Actors,Country,Language,Rated,Runtime,Year,Metascore,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,Romance,Sci-Fi,Sport,Thriller,War,Western,D_birthplace,D_DOB,D_name,D_credits,D_wins,D_age,A_birthplace,A_DOB,A_name,A_credits,A_wins,A_age,Director Nominated Oscars,Director Won Oscars,Actor Nominated Oscars,Actor Won Oscars,wiki_url_new,imdb_link_new,rt_link_new,budget_USD,box_USD
0,tt0369610,Jurassic World,2015-06-12 00:00:00,1 win & 5 nominations.,Colin Trevorrow,Chris Pratt,USA,English,PG-13,124.0,2015,59.0,7.2,"314,481","Jurassic World can't match the original for sheer inventiveness and impact, but it works in its own right as an entertaining -- and visually dazzling -- popcorn thriller.",194.0,71.0,6.7,274.0,80.0,80.0,3.9,206851.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"San Francisco, California, USA",1976-9-13,Colin Trevorrow,7.0,6 nominations.,39.1923340178,"Virginia, Minnesota, USA",1979-6-21,Chris Pratt,43.0,8 wins & 21 nominations.,36.424366872,0,0,0,0,/wiki/Jurassic_World,http://www.imdb.com/title/tt0369610/,http://www.rottentomatoes.com/m/jurassic_world/,,652198011.0
1,tt0369610,Jurassic World,2015-06-12 00:00:00,1 win & 5 nominations.,Colin Trevorrow,Irrfan Khan,USA,English,PG-13,124.0,2015,59.0,7.2,"314,481","Jurassic World can't match the original for sheer inventiveness and impact, but it works in its own right as an entertaining -- and visually dazzling -- popcorn thriller.",194.0,71.0,6.7,274.0,80.0,80.0,3.9,206851.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"San Francisco, California, USA",1976-9-13,Colin Trevorrow,7.0,6 nominations.,39.1923340178,"Jaipur, Rajasthan, India",1967-1-7,Irrfan Khan,130.0,15 wins & 19 nominations.,48.8761122519,0,0,0,0,/wiki/Jurassic_World,http://www.imdb.com/title/tt0369610/,http://www.rottentomatoes.com/m/jurassic_world/,,652198011.0
2,tt0369610,Jurassic World,2015-06-12 00:00:00,1 win & 5 nominations.,Colin Trevorrow,Vincent D'Onofrio,USA,English,PG-13,124.0,2015,59.0,7.2,"314,481","Jurassic World can't match the original for sheer inventiveness and impact, but it works in its own right as an entertaining -- and visually dazzling -- popcorn thriller.",194.0,71.0,6.7,274.0,80.0,80.0,3.9,206851.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"San Francisco, California, USA",1976-9-13,Colin Trevorrow,7.0,6 nominations.,39.1923340178,"Brooklyn, New York City, New York, USA",1959-6-30,Vincent D'Onofrio,89.0,"Nominated for
        1
        Primetime Emmy.",56.3997262149,0,0,0,0,/wiki/Jurassic_World,http://www.imdb.com/title/tt0369610/,http://www.rottentomatoes.com/m/jurassic_world/,,652198011.0
3,tt0369610,Jurassic World,2015-06-12 00:00:00,1 win & 5 nominations.,Colin Trevorrow,Bryce Dallas Howard,USA,English,PG-13,124.0,2015,59.0,7.2,"314,481","Jurassic World can't match the original for sheer inventiveness and impact, but it works in its own right as an entertaining -- and visually dazzling -- popcorn thriller.",194.0,71.0,6.7,274.0,80.0,80.0,3.9,206851.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"San Francisco, California, USA",1976-9-13,Colin Trevorrow,7.0,6 nominations.,39.1923340178,"Los Angeles, California, USA",1981-3-2,Bryce Dallas Howard,30.0,"Nominated for
        1
        Golden Globe.",34.726899384,0,0,0,0,/wiki/Jurassic_World,http://www.imdb.com/title/tt0369610/,http://www.rottentomatoes.com/m/jurassic_world/,,652198011.0
4,tt0470752,Ex Machina,2015-04-24 00:00:00,2 wins & 7 nominations.,Alex Garland,Domhnall Gleeson,UK,English,R,108.0,2015,78.0,7.7,"194,256","Ex Machina leans heavier on ideas than effects, but it's still a visually polished piece of work -- and an uncommonly engaging sci-fi feature.",199.0,92.0,8.0,216.0,17.0,85.0,4.0,61929.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,"London, England, UK",1970-1-1,Alex Garland,2.0,4 wins & 10 nominations.,45.8918548939,"Dublin, Ireland",1983-5-12,Domhnall Gleeson,32.0,5 wins & 5 nominations.,32.5338809035,0,0,0,0,/wiki/Ex_Machina_(film),http://www.imdb.com/title/tt0470752/,http://www.rottentomatoes.com/m/ex_machina/,,25440971.0
5,tt0470752,Ex Machina,2015-04-24 00:00:00,2 wins & 7 nominations.,Alex Garland,Alicia Vikander,UK,English,R,108.0,2015,78.0,7.7,"194,256","Ex Machina leans heavier on ideas than effects, but it's still a visually polished piece of work -- and an uncommonly engaging sci-fi feature.",199.0,92.0,8.0,216.0,17.0,85.0,4.0,61929.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,"London, England, UK",1970-1-1,Alex Garland,2.0,4 wins & 10 nominations.,45.8918548939,"Gothenburg, Västra Götalands län, Sweden",1988-10-3,Alicia Vikander,27.0,8 wins & 8 nominations.,27.1375770021,0,0,0,0,/wiki/Ex_Machina_(film),http://www.imdb.com/title/tt0470752/,http://www.rottentomatoes.com/m/ex_machina/,,25440971.0
6,tt0470752,Ex Machina,2015-04-24 00:00:00,2 wins & 7 nominations.,Alex Garland,Oscar Isaac,UK,English,R,108.0,2015,78.0,7.7,"194,256","Ex Machina leans heavier on ideas than effects, but it's still a visually polished piece of work -- and an uncommonly engaging sci-fi feature.",199.0,92.0,8.0,216.0,17.0,85.0,4.0,61929.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,"London, England, UK",1970-1-1,Alex Garland,2.0,4 wins & 10 nominations.,45.8918548939,Guatemala,1980-3-9,Oscar Isaac,34.0,"Nominated for
        1
        Golden Globe.",35.7070499658,0,0,0,0,/wiki/Ex_Machina_(film),http://www.imdb.com/title/tt0470752/,http://www.rottentomatoes.com/m/ex_machina/,,25440971.0
7,tt0478970,Ant-Man,2015-07-17 00:00:00,2 nominations.,Peyton Reed,Corey Stoll,USA,English,PG-13,117.0,2015,64.0,7.6,"138,824","Led by a charming performance from Paul Rudd, Ant-Man offers Marvel thrills on an appropriately smaller scale -- albeit not as smoothly as its most successful predecessors.",197.0,79.0,6.8,248.0,51.0,88.0,4.1,148048.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"Raleigh, North Carolina, USA",1964-7-3,Peyton Reed,26.0,1 win & 1 nomination.,51.3894592745,"New York City, New York, USA",1976-3-14,Corey Stoll,49.0,"Nominated for
        1
        Golden Globe.",39.6933607118,0,0,0,0,/wiki/Ant-Man_(film),http://www.imdb.com/title/tt0478970/,,,178636091.0
8,tt0478970,Ant-Man,2015-07-17 00:00:00,2 nominations.,Peyton Reed,Michael Douglas,USA,English,PG-13,117.0,2015,64.0,7.6,"138,824","Led by a charming performance from Paul Rudd, Ant-Man offers Marvel thrills on an appropriately smaller scale -- albeit not as smoothly as its most successful predecessors.",197.0,79.0,6.8,248.0,51.0,88.0,4.1,148048.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"Raleigh, North Carolina, USA",1964-7-3,Peyton Reed,26.0,1 win & 1 nomination.,51.3894592745,"New Brunswick, New Jersey, USA",1944-9-25,Michael Douglas,57.0,"Won
        2
        Oscars.",71.1594798084,0,0,0,2,/wiki/Ant-Man_(film),http://www.imdb.com/title/tt0478970/,,,178636091.0
9,tt0478970,Ant-Man,2015-07-17 00:00:00,2 nominations.,Peyton Reed,Paul Rudd,USA,English,PG-13,117.0,2015,64.0,7.6,"138,824","Led by a charming performance from Paul Rudd, Ant-Man offers Marvel thrills on an appropriately smaller scale -- albeit not as smoothly as its most successful predecessors.",197.0,79.0,6.8,248.0,51.0,88.0,4.1,148048.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"Raleigh, North Carolina, USA",1964-7-3,Peyton Reed,26.0,1 win & 1 nomination.,51.3894592745,"Passaic, New Jersey, USA",1969-4-6,Paul Rudd,96.0,6 wins & 14 nominations.,46.6310746064,0,0,0,0,/wiki/Ant-Man_(film),http://www.imdb.com/title/tt0478970/,,,178636091.0
